true_lineage_id,outcome,first_payment_at,close_at
L00001,PAYMENT_POSTED,2022-08-18T08:24:00-05:00,
L00002,PAYMENT_POSTED,2023-07-18T11:19:00-05:00,
L00003,PAYMENT_POSTED,2023-06-28T08:45:00-05:00,
L00004,PAYMENT_POSTED,2023-07-20T10:20:00-05:00,
L00005,PAYMENT_POSTED,2022-08-08T14:58:00-05:00,
L00006,PAYMENT_POSTED,2023-03-27T09:57:00-05:00,
L00007,PAYMENT_POSTED,2023-10-02T08:56:00-05:00,
L00008,CLOSED_NO_PAYMENT,,2023-08-28T16:59:00-05:00
L00009,STILL_OPEN,,
L00010,CLOSED_NO_PAYMENT,,2023-06-20T10:07:00-05:00
L00011,PAYMENT_POSTED,2023-10-23T14:31:00-05:00,
L00012,PAYMENT_POSTED,2022-11-18T09:22:00-06:00,
L00013,STILL_OPEN,,
L00014,PAYMENT_POSTED,2022-10-03T12:10:00-05:00,
L00015,PAYMENT_POSTED,2022-08-29T16:44:00-05:00,
L00016,PAYMENT_POSTED,2022-10-19T14:54:00-05:00,
L00017,PAYMENT_POSTED,2023-02-22T09:24:00-06:00,
L00018,STILL_OPEN,,
L00019,STILL_OPEN,,
L00020,PAYMENT_POSTED,2022-12-29T10:51:00-06:00,
L00021,PAYMENT_POSTED,2023-06-28T08:40:00-05:00,
L00022,PAYMENT_POSTED,2023-09-26T15:50:00-05:00,
L00023,PAYMENT_POSTED,2022-07-21T14:46:00-05:00,
L00024,STILL_OPEN,,
L00025,CLOSED_NO_PAYMENT,,2023-09-01T13:28:00-05:00
L00026,PAYMENT_POSTED,2023-03-10T13:53:00-06:00,
L00027,STILL_OPEN,,
L00028,PAYMENT_POSTED,2023-08-01T09:50:00-05:00,
L00029,PAYMENT_POSTED,2023-07-07T14:21:00-05:00,
L00030,PAYMENT_POSTED,2023-04-06T12:36:00-05:00,
L00031,PAYMENT_POSTED,2023-09-13T13:33:00-05:00,
L00032,PAYMENT_POSTED,2022-12-12T16:30:00-06:00,
L00033,STILL_OPEN,,
L00034,PAYMENT_POSTED,2023-09-21T11:53:00-05:00,
L00035,PAYMENT_POSTED,2023-09-04T09:33:00-05:00,
L00036,CLOSED_NO_PAYMENT,,2023-11-27T10:29:00-06:00
L00037,PAYMENT_POSTED,2022-12-05T10:35:00-06:00,
L00038,STILL_OPEN,,
L00039,STILL_OPEN,,
L00040,PAYMENT_POSTED,2023-07-17T16:09:00-05:00,
L00041,PAYMENT_POSTED,2023-05-01T14:59:00-05:00,
L00042,PAYMENT_POSTED,2023-02-20T16:38:00-06:00,
L00043,PAYMENT_POSTED,2023-01-19T11:36:00-06:00,
L00044,PAYMENT_POSTED,2023-01-16T10:45:00-06:00,
L00045,PAYMENT_POSTED,2022-10-24T08:31:00-05:00,
L00046,PAYMENT_POSTED,2023-07-24T12:31:00-05:00,
L00047,PAYMENT_POSTED,2023-07-26T09:52:00-05:00,
L00048,PAYMENT_POSTED,2022-10-12T08:45:00-05:00,
L00049,PAYMENT_POSTED,2023-01-24T13:04:00-06:00,
L00050,PAYMENT_POSTED,2023-02-16T13:30:00-06:00,
L00051,STILL_OPEN,,
L00052,PAYMENT_POSTED,2022-08-23T14:58:00-05:00,
L00053,PAYMENT_POSTED,2022-12-19T12:01:00-06:00,
L00054,PAYMENT_POSTED,2023-06-27T14:46:00-05:00,
L00055,STILL_OPEN,,
L00056,STILL_OPEN,2023-11-15T10:27:00-06:00,
L00057,PAYMENT_POSTED,2023-06-26T15:16:00-05:00,
L00058,PAYMENT_POSTED,2023-05-15T15:18:00-05:00,
L00059,PAYMENT_POSTED,2023-01-03T16:17:00-06:00,
L00060,STILL_OPEN,,
L00061,PAYMENT_POSTED,2023-07-26T09:14:00-05:00,
L00062,PAYMENT_POSTED,2022-08-25T16:48:00-05:00,
L00063,PAYMENT_POSTED,2022-10-11T08:43:00-05:00,
L00064,PAYMENT_POSTED,2023-01-30T08:40:00-06:00,
L00065,PAYMENT_POSTED,2022-09-23T12:40:00-05:00,
L00066,PAYMENT_POSTED,2022-10-25T16:22:00-05:00,
L00067,PAYMENT_POSTED,2023-02-06T09:34:00-06:00,
L00068,PAYMENT_POSTED,2022-07-29T15:26:00-05:00,
L00069,PAYMENT_POSTED,2023-04-24T16:45:00-05:00,
L00070,PAYMENT_POSTED,2023-03-08T13:02:00-06:00,
L00071,PAYMENT_POSTED,2023-05-15T16:07:00-05:00,
L00072,PAYMENT_POSTED,2023-03-20T16:04:00-05:00,
L00073,PAYMENT_POSTED,2023-06-19T11:35:00-05:00,
L00074,PAYMENT_POSTED,2023-02-03T14:45:00-06:00,
L00075,PAYMENT_POSTED,2022-10-03T12:13:00-05:00,
L00076,PAYMENT_POSTED,2023-02-16T11:27:00-06:00,
L00077,PAYMENT_POSTED,2022-10-19T15:25:00-05:00,
L00078,PAYMENT_POSTED,2022-12-21T11:57:00-06:00,
L00079,PAYMENT_POSTED,2023-05-10T13:14:00-05:00,
L00080,PAYMENT_POSTED,2022-10-12T09:54:00-05:00,
L00081,CLOSED_NO_PAYMENT,,2023-02-10T09:32:00-06:00
L00082,PAYMENT_POSTED,2022-12-09T12:34:00-06:00,
L00083,PAYMENT_POSTED,2023-03-13T12:13:00-05:00,
L00084,CLOSED_NO_PAYMENT,,2023-04-07T10:26:00-05:00
L00085,PAYMENT_POSTED,2023-06-01T15:10:00-05:00,
L00086,PAYMENT_POSTED,2022-08-22T13:46:00-05:00,
L00087,PAYMENT_POSTED,2022-11-07T16:08:00-06:00,
L00088,PAYMENT_POSTED,2023-06-30T15:59:00-05:00,
L00089,STILL_OPEN,,
L00090,PAYMENT_POSTED,2022-11-04T13:21:00-05:00,
L00091,PAYMENT_POSTED,2023-10-25T13:47:00-05:00,
L00092,PAYMENT_POSTED,2023-03-09T09:53:00-06:00,
L00093,PAYMENT_POSTED,2022-11-28T09:35:00-06:00,
L00094,PAYMENT_POSTED,2022-12-16T13:51:00-06:00,
L00095,PAYMENT_POSTED,2022-09-06T13:22:00-05:00,
L00096,CLOSED_NO_PAYMENT,,2022-11-01T12:08:00-05:00
L00097,PAYMENT_POSTED,2023-05-18T11:08:00-05:00,
L00098,PAYMENT_POSTED,2022-08-01T09:00:00-05:00,
L00099,PAYMENT_POSTED,2022-08-19T11:24:00-05:00,
L00100,PAYMENT_POSTED,2023-08-08T13:21:00-05:00,
L00101,PAYMENT_POSTED,2022-09-07T15:01:00-05:00,
L00102,PAYMENT_POSTED,2022-12-05T16:10:00-06:00,
L00103,PAYMENT_POSTED,2023-10-10T11:22:00-05:00,
L00104,PAYMENT_POSTED,2023-03-08T16:06:00-06:00,
L00105,PAYMENT_POSTED,2022-12-19T09:18:00-06:00,
L00106,PAYMENT_POSTED,2023-08-21T12:05:00-05:00,
L00107,PAYMENT_POSTED,2023-03-29T11:17:00-05:00,
L00108,PAYMENT_POSTED,2023-04-03T08:02:00-05:00,
L00109,CLOSED_NO_PAYMENT,,2023-08-25T09:37:00-05:00
L00110,PAYMENT_POSTED,2022-08-01T11:23:00-05:00,
L00111,PAYMENT_POSTED,2022-08-26T08:09:00-05:00,
L00112,PAYMENT_POSTED,2023-01-06T12:49:00-06:00,
L00113,PAYMENT_POSTED,2023-01-23T16:30:00-06:00,
L00114,STILL_OPEN,,
L00115,PAYMENT_POSTED,2023-06-19T08:28:00-05:00,
L00116,PAYMENT_POSTED,2022-12-05T14:06:00-06:00,
L00117,PAYMENT_POSTED,2023-09-20T15:48:00-05:00,
L00118,STILL_OPEN,,
L00119,PAYMENT_POSTED,2022-12-30T13:32:00-06:00,
